post_title,post_content,post_status,post_type,sku,regular_price,product_cat,brand,product_url,variant,color,meta:Framefit,meta:Bottom_bracket,meta:Voorderailleur,images,meta:image_1_local_path,meta:additional_image_2,meta:image_2_local_path,meta:additional_image_3,meta:image_3_local_path,meta:additional_image_4,meta:image_4_local_path,meta:additional_image_5,meta:image_5_local_path,meta:import_date,meta:import_source
Madone SL 6 AXS Gen 8,,publish,product,46221,4299.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46221/,black,Black,H1.5 Race*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane+ ALR 5,,publish,product,56167,4299.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/56167/,greylight,Grey light,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Madone SL 6 Gen 8,,publish,product,46219,4799.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46219/,red,Red,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane SL 6 AXS gen 4,,publish,product,36152,4999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/36152/,bluedark,Blue dark,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomaneSL7-26-57644-C-Primary",images/Trek/Domane_SL_6_AXS_gen_4/DomaneSL7-26-57644-C-Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomaneSL6-26-57639-A-Primary",images/Trek/Domane_SL_6_AXS_gen_4/DomaneSL6-26-57639-A-Primary_02.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomaneSL5-26-57629-D-Primary",images/Trek/Domane_SL_6_AXS_gen_4/DomaneSL5-26-57629-D-Primary_03.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomaneSLFrameset_23_37302_A_Primary",images/Trek/Domane_SL_6_AXS_gen_4/DomaneSLFrameset_23_37302_A_Primary_04.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomaneSL5-24-41348-A-Primary",images/Trek/Domane_SL_6_AXS_gen_4/DomaneSL5-24-41348-A-Primary_05.jpg,2025-08-03 08:10:46,trek_scraper
Domane SL 7 Gen 4,,publish,product,47132,5499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47132/,black,Black,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Madone SL 7 Gen 8,,publish,product,46220,5999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46220/,grey,Grey,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Madone SL 6 Gen 7,,publish,product,41466,5999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41466/,grey,Grey,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/MadoneSL7-25-46220-A-Primary",images/Trek/Madone_SL_6_Gen_7/MadoneSL7-25-46220-A-Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/MadoneSL6AXS-25-46221-A-Primary",images/Trek/Madone_SL_6_Gen_7/MadoneSL6AXS-25-46221-A-Primary_02.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/MadoneSL5-25-46218-A-Primary",images/Trek/Madone_SL_6_Gen_7/MadoneSL5-25-46218-A-Primary_03.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/MadoneSL6-25-46219-C-Primary",images/Trek/Madone_SL_6_Gen_7/MadoneSL6-25-46219-C-Primary_04.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/MadoneSL7-26-57664-D-Primary",images/Trek/Madone_SL_6_Gen_7/MadoneSL7-26-57664-D-Primary_05.jpg,2025-08-03 08:10:46,trek_scraper
Checkpoint SL 7 AXS Gen 3,,publish,product,55097,5999.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/55097/,green_black,Green/Black,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane+ SLR 6,,publish,product,46163,6999.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46163/,black_grey,Black/Grey,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane SLR 7 gen 4,,publish,product,57892,7499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/57892/,green,Green,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Checkmate SLR 7 AXS,,publish,product,58668,7499.0,Gravel bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/58668/,greendark_greenlight,Green dark/Green light,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*","1x, geen voorderailleur",,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane SLR 7 AXS Gen 4,,publish,product,57915,7999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/57915/,green,Green,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Madone SLR 7 Gen 8,,publish,product,46687,7999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46687/,blue,Blue,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Madone SLR 7 AXS,,publish,product,58135,8499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/58135/,blue,Blue,H1.5 Race*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane+ SLR 7,,publish,product,58151,8499.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/58151/,green,Green,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Speed Concept SLR 7,,publish,product,35577,8499.0,Triathlon bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/35577/,reddark_black,Red dark/Black,Triatlon*,,,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane+ SLR 6 Pro,,publish,product,36703,8499.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/36703/,black_grey,Black/Grey,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR6-26-46164-A-Primary",images/Trek/Domane_SLR_6_Pro/DomanePlusSLR6-26-46164-A-Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR9-26-58187-C-Primary",images/Trek/Domane_SLR_6_Pro/DomanePlusSLR9-26-58187-C-Primary_02.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR7-26-58152-A-Primary",images/Trek/Domane_SLR_6_Pro/DomanePlusSLR7-26-58152-A-Primary_03.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR9_23_36742_C_Primary",images/Trek/Domane_SLR_6_Pro/DomanePlusSLR9_23_36742_C_Primary_04.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR7eTapUS-24-41482-D-Primary",images/Trek/Domane_SLR_6_Pro/DomanePlusSLR7eTapUS-24-41482-D-Primary_05.jpg,2025-08-03 08:10:46,trek_scraper
Speed Concept SLR 7 AXS,,publish,product,56332,8999.0,Triathlon bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/56332/,reddark_black,Red dark/Black,Triatlon*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Checkmate SLR 9 AXS,,publish,product,46152,9999.0,Gravel bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46152/,greendark_greenlight,Green dark/Green light,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*","1x, geen voorderailleur",,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane SLR 9 Gen 4,,publish,product,57942,10499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/57942/,green,Green,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane+ SLR 7 AXS,,publish,product,41481,10599.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41481/,black,Black,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR6-26-46164-A-Primary",images/Trek/Domane_SLR_7_AXS/DomanePlusSLR6-26-46164-A-Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR9-26-58187-C-Primary",images/Trek/Domane_SLR_7_AXS/DomanePlusSLR9-26-58187-C-Primary_02.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR7-26-58152-A-Primary",images/Trek/Domane_SLR_7_AXS/DomanePlusSLR7-26-58152-A-Primary_03.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR9_23_36742_C_Primary",images/Trek/Domane_SLR_7_AXS/DomanePlusSLR9_23_36742_C_Primary_04.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/DomanePlusSLR7_23_36711_C_Primary",images/Trek/Domane_SLR_7_AXS/DomanePlusSLR7_23_36711_C_Primary_05.jpg,2025-08-03 08:10:46,trek_scraper
Domane SLR 9 AXS Gen 4,,publish,product,57944,10999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/57944/,green,Green,Endurance*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane+ SLR 9,,publish,product,58185,10999.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/58185/,green,Green,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Speed Concept SLR 9,,publish,product,35757,11499.0,Triathlon bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/35757/,reddark_black,Red dark/Black,Triatlon*,,,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Madone SLR 9 gen 8,,publish,product,46707,11499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46707/,blue,Blue,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Madone SLR 9 AXS 1x Gen 8,,publish,product,64879,11499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/64879/,blue,Blue,H1.5 Race*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Speed Concept SLR 9 AXS,,publish,product,48020,11999.0,Triathlon bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/48020/,reddark_black,Red dark/Black,Triatlon*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Madone SLR 9 AXS Gen 8,,publish,product,46151,11999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46151/,blue,Blue,H1.5 Race*,"SRAM DUB, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
